"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料年度","政府機構(%)","政府機構增減","僑外投資(%)","僑外投資增減","本國金融機構(%)","本國金融機構增減","本國法人(%)","本國法人增減","本國個人(%)","本國個人增減","庫藏股票(%)","庫藏股票增減"
"438",="3308","聯德","7.78","-0.06","-0.77","2021","0","0","0.22","+0.13","2.41","0","24.1","-1.13","73.3","+1","0","0"
"439",="3088","艾訊","54.3","0","0","2021","0","-0.06","4.18","-3.93","2.41","-0.01","34.8","+3.16","58.6","+0.85","0","0"
"440",="3015","全漢","42.6","-0.5","-1.16","2021","0","0","12.8","+1.41","2.41","+0.31","23.4","+2.19","61.4","-2.25","0","-1.65"
"441",="3028","增你強","30.5","-0.55","-1.77","2021","0","0","7.43","+2.54","2.4","-0.38","15.7","+1.22","74.5","-3.38","0","0"
"442",="4737","華廣","67.3","+0.1","+0.15","2021","0","0","23.3","-6.85","2.35","-0.03","17.9","+1.95","53.2","+4.96","3.21","-0.04"
"443",="2066","世德","61.4","+0.8","+1.32","2021","0","0","10.2","+0.1","2.35","+0.07","33.7","+0.94","51.7","-2.24","2.05","+1.13"
"444",="6499","益安","66","-0.7","-1.05","2021","0","0","11.7","-0.09","2.34","0","49.7","-1.83","35.7","+1.33","0.59","+0.59"
"445",="3030","德律","57.4","-0.5","-0.86","2021","0","0","18.7","-3.51","2.32","-1.64","13.3","+0.66","65.7","+4.49","0","0"
"446",="6535","順藥","41.05","+1.65","+4.19","2021","0","0","1.13","-0.2","2.28","+2.28","54.9","+3.61","41.7","-5.69","0","0"
"447",="6196","帆宣","149.5","-4","-2.61","2021","0","0","3.04","-1.29","2.27","+0.84","59.8","+0.91","34.9","-0.46","0","0"
"448",="3632","研勤","8.06","-0.14","-1.71","2021","0","0","0.18","+0.01","2.25","+0.74","0.06","+0.02","97.5","-0.76","0","0"
"449",="2610","華航","27.65","-0.7","-2.47","2021","9.59","0","8.84","-4.59","2.23","+0.92","41","-4.81","38.4","+8.49","0","0"
"450",="9930","中聯資源","44.85","-0.05","-0.11","2021","0","0","2.22","+0.17","2.22","-1.09","73.3","+0.16","22.3","+0.76","0","0"
"451",="3218","大學光","287","+2.5","+0.88","2021","0.96","+0.96","28.8","+22.7","2.22","+1.85","19.7","-2.09","48.3","-23.4","0","0"
"452",="6279","胡連","133.5","-1","-0.74","2021","2.36","+2.36","8.44","-0.54","2.2","-0.58","6.65","+0.29","80.3","-1.53","0","0"
"453",="6589","台康生技","103.5","-3","-2.82","2021","7.31","-0.53","3.26","-1.38","2.15","-2.41","29.8","-7.52","57.5","+11.9","0","-0.1"
"454",="2615","萬海","156","-4.5","-2.8","2021","0.51","+0.12","43","+1.22","2.15","+0.71","34.1","+0.73","20.2","-2.78","0","0"
"455",="4736","泰博","169","0","0","2021","0","0","7.56","-1.8","2.14","-5.34","13.1","-2.02","77.2","+9.16","0","0"
"456",="3652","精聯","24.7","+0.6","+2.49","2021","0","0","0.17","-4.31","2.12","0","66.4","+5.39","31.3","-1.08","0","0"
"457",="2617","台航","35.65","-0.95","-2.6","2021","26.5","0","5.97","+2.68","2.12","+0.31","26.9","-8.16","38.6","+5.18","0","0"
"458",="3666","光耀","31.35","-0.45","-1.42","2021","0","0","3.32","+3.21","2.1","+2.09","42.5","-6.12","52.1","+0.82","0","0"
"459",="6449","鈺邦","56.1","0","0","2021","0","0","5.17","+3.39","2.1","+0.5","49.1","-0.26","43.7","-3.63","0","0"
"460",="2201","裕隆","43.3","+0.2","+0.46","2021","0.01","-0.83","7.59","+1.06","2.08","-4.78","46.4","+0.82","43.9","+3.73","0","0"
"461",="2520","冠德","38.55","+0.1","+0.26","2021","0","0","17.7","-3.02","2.05","+1.27","29.3","-2.38","51","+4.12","0","0"
"462",="3691","碩禾","179","-2","-1.1","2021","2.71","+2.71","8.08","+4.28","2.05","+1.74","53.2","-5.74","32.8","-2.94","1.14","-0.04"
"463",="4162","智擎","57.3","+0.6","+1.06","2021","15.8","-1.9","4.68","-1.35","2.04","-0.28","18.2","-0.42","58.6","+3.96","0.68","0"
"464",="9958","世紀鋼","111.5","+2.5","+2.29","2021","1.98","+1.36","4.75","+1.07","2.04","-2.7","25","-8.31","66.2","+8.59","0","0"
"465",="5263","智崴","154","+3.5","+2.33","2021","0","-0.04","10.9","+0.58","2.03","+0.55","26.8","-1.42","60.4","+0.33","0","0"
"466",="4979","華星光","19.2","-0.5","-2.54","2021","0","0","2.74","-1.1","2.03","+0.06","29.9","+7.5","65.3","-6.43","0.01","-0.01"
"467",="3058","立德","17.15","+0.05","+0.29","2021","0","0","4.78","+2.88","2.03","-0.09","9.25","-2.67","80.6","+0.95","3.31","-1.07"
"468",="5438","東友","18.35","+0.15","+0.82","2021","0","0","0.55","+0.01","2.02","-5.34","44.1","+5.56","53.3","-0.23","0","0"
"469",="8044","網家","139","-7","-4.79","2021","0","0","29.3","-13.2","2.02","+1.34","18.7","+0.54","49.2","+10.5","0.79","+0.79"
"470",="4174","浩鼎","106.5","-2","-1.84","2021","0","0","12.6","+0.25","2.01","+1.71","32.3","+0.03","53.1","-1.99","0","0"
